ab,Annie,completed
am,Annie,completed
as,Annie,completed
ba,Annie,completed
bas,Annie,completed
be,Annie,completed
bg,Annie,completed
bn,Annie,completed
ckb,Annie,completed
cs,Annie,completed
cv,Annie,completed
cy,Annie,completed
dav,Annie,completed
dv,Annie,completed
el,Annie,completed
et,Eleanor,completed
eu,Eleanor,completed
fi,Eleanor,completed
gl,Eleanor,completed
gn,Eleanor,completed
ha,Eleanor,completed
hi,Eleanor,completed
hsb,Eleanor,completed
hu,Bogdan,completed
hy-AM,Eleanor,completed
id,Eleanor,completed
it,Eleanor,completed
ja,Eleanor,completed
ka,Eleanor,completed-after-recreating
kab,Miao,completed
kk,Miao,completed
kmr,Miao,completed
ko,Miao,completed
ky,Miao,completed
lg,Miao,completed
lij,Miao,completed
lt,Miao,completed
luo,Miao,completed
mk,Miao,completed
ml,Miao,completed
mn,Miao,completed
mr,Miao,completed
mt,Miao,completed
myv,Bogdan,completed
nan-tw,Bogdan,completed
nl,Bogdan,completed
or,Bogdan,completed
pa-IN,Bogdan,completed
pl,Bogdan,completed
pt,Bogdan,completed
ro,Bogdan,completed
ru,Bogdan,completed
sah,Bogdan,completed
sk,Bogdan,completed
sl,Bogdan,completed
sq,Bogdan,completed
sr,Bogdan,completed
sv-SE,Bogdan,completed
sw,Jiachen,completed
ta,Jiachen,completed
th,Jiachen,completed
tk,Jiachen,completed
tn,Jiachen,completed
tr,Jiachen,completed
tt,Jiachen,completed
ug,Jiachen,completed
uk,Jiachen,completed
uz,Jiachen,completed
vi,Jiachen,completed
yo,Jiachen,completed
yue,Jiachen,completed
zh-CN,Jiachen,completed
zza,Jiachen,completed
ca,Bogdan,completed
rw,Annie,completed
fr,Eleanor,completed